Author,P,T,Type of liquid,Type of Gas,DenL,DenG,VisL,VisG,ST,ID,Roughness,Ang,L/D,Vsl,Vsg,Flow_label
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.044817073,0.81402439,SW
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,0.81402439,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.088109756,0.81402439,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,1.103658537,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,1.103658537,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,1.103658537,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.036585366,2.091463415,SW
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.045731707,2.091463415,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,2.091463415,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,2.091463415,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,2.091463415,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.036585366,3.033536585,SW
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.045731707,3.033536585,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,3.033536585,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,3.109756098,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,3.109756098,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,3.140243902,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,3.292682927,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.030487805,4.451219512,SW
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,4.481707317,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.036585366,6.768292683,SW
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,6.768292683,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.076219512,6.768292683,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,6.859756098,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,6.981707317,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,7.103658537,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,7.469512195,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.929878049,8.018292683,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.045731707,9.695121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,10.12195122,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,10.85365854,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,11.43292683,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.929878049,12.28658537,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.045731707,17.01219512,SW
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.076219512,16.79878049,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,17.4695122,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,17.71341463,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,18.59756098,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,19.45121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.929878049,19.45121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.030487805,35.97560976,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,35.97560976,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,35.97560976,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,35.97560976,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,32.62195122,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.457317073,32.62195122,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.533536585,32.62195122,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,32.62195122,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.929878049,32.62195122,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,67.68292683,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,67.68292683,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,66.76829268,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.472560976,66.76829268,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,66.76829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.777439024,66.76829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.929878049,66.76829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,97.25609756,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.12195122,99.3902439,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,97.25609756,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,97.25609756,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,97.86585366,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.777439024,97.56097561,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.929878049,96.95121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.06097561,126.8292683,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.219512195,126.8292683,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.341463415,125.304878,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.472560976,125.304878,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.609756098,125.304878,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.777439024,125.304878,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.929878049,125.9146341,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,1.204268293,123.4756098,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.914634146,132.3170732,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,1.204268293,132.3170732,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.625,109.1463415,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.914634146,200.6097561,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,1.204268293,200.6097561,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,1.493902439,200.6097561,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.015243902,39.93902439,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0254,0,0,600,0.004268293,67.68292683,A
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.268292683,1.195121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.307926829,1.195121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.466463415,1.195121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,1.195121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.143292683,2.176829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.12195122,2.176829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.143292683,2.176829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.216463415,2.176829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.457317073,2.176829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,2.176829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,1.012195122,2.176829268,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.140243902,4.634146341,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.216463415,4.634146341,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.304878049,4.664634146,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.457317073,4.695121951,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,4.664634146,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,1.012195122,4.664634146,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.167682927,7.073170732,SW
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.201219512,7.073170732,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.216463415,7.042682927,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.304878049,7.134146341,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.457317073,7.134146341,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,6.951219512,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,1.012195122,7.042682927,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.216463415,9.024390244,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.262195122,9.146341463,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.317073171,9.146341463,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.457317073,9.634146341,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,9.146341463,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,1.012195122,9.146341463,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.259146341,14.93902439,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.234756098,15.27439024,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.317073171,15.27439024,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.457317073,15.24390244,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,15.21341463,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.216463415,23.29268293,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.219512195,22.86585366,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.317073171,22.86585366,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,23.17073171,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,1.012195122,24.05487805,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.216463415,33.23170732,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.304878049,33.53658537,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.384146341,30.39634146,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.457317073,31.40243902,I
1985_Piu-,100,20,Water,Air,1000,1.12E+00,0.001,1.50E-05,0.07,0.0954,0,0,260,0.615853659,30.39634146,I
